City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Upernavik,GL,72.7868,-56.1549,-12.42,93,100,6.53,overcast clouds
1,Esperance,AU,-33.8667,121.9,66.49,50,53,18.86,broken clouds
2,Mataura,NZ,-46.1927,168.8643,72.97,48,3,4.99,clear sky
3,Nikolskoye,RU,59.7035,30.7861,33.8,97,100,11.3,light snow
4,Buala,SB,-8.145,159.5921,80.69,83,100,10.29,moderate rain
5,Vaini,TO,-21.2,-175.2,84.36,74,40,4.61,scattered clouds
6,Port Alfred,ZA,-33.5906,26.891,81.18,72,86,12.73,overcast clouds
7,Puerto Ayora,EC,-0.7393,-90.3518,74.55,97,48,1.01,scattered clouds
8,Hermanus,ZA,-34.4187,19.2345,73.8,86,96,2.68,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,56.86,62,0,3.44,clear sky
10,Georgetown,MY,5.4112,100.3354,89.55,52,20,8.05,few clouds
11,Tuktoyaktuk,CA,69.4541,-133.0374,5.0,85,100,9.22,light snow
12,Kirkland Lake,CA,48.1446,-80.0377,28.45,98,100,4.85,light snow
13,Rikitea,PF,-23.1203,-134.9692,78.98,70,99,6.17,overcast clouds
14,Yellowknife,CA,62.456,-114.3525,12.72,92,100,3.44,light snow
15,Namatanai,PG,-3.6667,152.4333,82.94,70,100,8.21,overcast clouds
16,Faanui,PF,-16.4833,-151.75,80.26,75,24,9.93,light rain
17,Saint George,US,37.1041,-113.5841,39.43,82,75,5.75,broken clouds
18,Curup,ID,-3.4667,102.5333,75.22,85,90,0.78,overcast clouds
19,Jinka,ET,5.65,36.65,74.7,27,81,3.53,broken clouds
20,Hilo,US,19.7297,-155.09,73.62,90,100,3.44,overcast clouds
21,Kruisfontein,ZA,-34.0033,24.7314,84.22,50,99,2.59,overcast clouds
22,Saint-Joseph,RE,-21.3667,55.6167,82.78,78,99,15.08,light rain
23,East London,ZA,-33.0153,27.9116,76.14,94,20,4.61,few clouds
24,El Cobre,CU,20.0489,-75.9469,69.24,73,20,4.61,few clouds
25,Superior,US,46.7208,-92.1041,31.89,82,100,9.22,overcast clouds
26,Tiksi,RU,71.6872,128.8694,-24.32,100,100,5.21,overcast clouds
27,Empalme,MX,27.9667,-110.8167,51.93,49,0,6.13,clear sky
28,Vardo,NO,70.3705,31.1107,22.98,86,20,31.07,few clouds
29,Tierra Colorada,MX,17.1667,-99.5833,70.99,92,77,1.14,broken clouds
30,Grindavik,IS,63.8424,-22.4338,18.07,67,20,6.91,few clouds
31,Makushino,RU,55.2103,67.2442,9.19,79,36,8.01,scattered clouds
32,Kapoeta,SS,4.7717,33.5903,83.57,26,86,10.76,overcast clouds
33,Palu,ID,-0.8917,119.8707,86.45,74,93,3.27,overcast clouds
34,Ancud,CL,-41.8697,-73.8203,52.72,90,98,3.42,overcast clouds
35,Lethem,GY,3.3803,-59.7968,74.19,79,98,8.48,light rain
36,Lamar,US,33.6668,-95.5836,62.64,82,0,8.05,clear sky
37,Torbay,CA,47.6666,-52.7314,47.28,97,100,14.97,light rain
38,Bambous Virieux,MU,-20.3428,57.7575,83.21,78,75,17.27,light rain
39,Ilulissat,GL,69.2167,-51.1,-27.42,79,89,6.71,overcast clouds
40,Luwingu,ZM,-10.2621,29.9271,61.29,98,100,3.44,moderate rain
41,Kodiak,US,57.79,-152.4072,29.71,80,75,5.75,broken clouds
42,Dauphin,CA,51.1494,-100.0502,-5.66,77,0,3.44,clear sky
43,Booue,GA,-0.0921,11.9385,73.53,91,93,0.81,overcast clouds
44,Bluff,NZ,-46.6,168.3333,59.76,75,1,13.09,clear sky
45,Baykit,RU,61.67,96.37,-29.56,94,30,1.14,scattered clouds
46,Abu Samrah,SY,35.3029,37.1841,50.79,82,40,4.92,scattered clouds
47,Punta Arenas,CL,-53.15,-70.9167,55.51,71,75,14.97,broken clouds
48,Kalabo,ZM,-14.97,22.6814,65.88,93,100,3.22,light rain
49,Aklavik,CA,68.2191,-135.0107,-16.73,98,100,0.69,overcast clouds
50,Zaterechnyy,RU,44.7931,45.2097,34.81,82,71,9.82,broken clouds
51,Batemans Bay,AU,-35.7167,150.1833,73.09,76,84,6.17,moderate rain
52,Mar Del Plata,AR,-38.0023,-57.5575,71.62,97,40,15.01,mist
53,Dikson,RU,73.5069,80.5464,-11.52,71,100,10.76,overcast clouds
54,Aracataca,CO,10.5918,-74.1898,74.68,75,9,4.9,clear sky
55,Hobart,AU,-42.8794,147.3294,71.46,50,40,19.57,scattered clouds
56,Newport,GB,51.5877,-2.9984,38.82,89,56,10.16,broken clouds
57,Cape Town,ZA,-33.9258,18.4232,77.11,65,0,16.11,clear sky
58,Pemangkat,ID,1.1667,108.9667,82.94,71,83,13.58,broken clouds
59,Busselton,AU,-33.65,115.3333,78.94,32,74,5.73,broken clouds
60,Ringebu,NO,61.5167,10.1667,20.28,96,100,4.05,overcast clouds
61,Albany,US,42.6001,-73.9662,35.67,88,100,2.19,overcast clouds
62,Qaanaaq,GL,77.484,-69.3632,-19.62,87,90,6.31,overcast clouds
63,Pouebo,NC,-20.4,164.5667,73.08,93,100,17.76,overcast clouds
64,College,US,64.8569,-147.8028,-9.42,78,0,0.0,clear sky
65,Ukiah,US,39.1502,-123.2078,44.1,90,0,3.44,clear sky
66,Saint Pete Beach,US,27.7253,-82.7412,63.18,84,0,4.61,clear sky
67,Paka,MY,4.6374,103.4368,84.13,70,40,10.36,scattered clouds
68,Bathsheba,BB,13.2167,-59.5167,77.61,73,40,12.66,scattered clouds
69,Laguna,US,38.421,-121.4238,45.32,90,0,0.0,clear sky
70,Northam,GB,51.0333,-4.2167,39.61,81,14,21.83,few clouds
71,Naze,JP,28.3667,129.4833,58.12,69,92,15.19,overcast clouds
72,Sagua De Tanamo,CU,20.5819,-75.2414,63.7,85,1,3.96,clear sky
73,Bengkulu,ID,-3.8004,102.2655,83.43,67,82,8.84,broken clouds
74,Lebu,CL,-37.6167,-73.65,54.54,92,37,10.38,scattered clouds
75,Kargasok,RU,59.0556,80.8572,8.26,94,100,7.09,light snow
76,Adjuntas,PR,18.1585,-66.8018,63.66,82,0,4.07,clear sky
77,Santa Cruz De Tenerife,ES,28.4682,-16.2546,62.62,86,100,17.27,overcast clouds
78,Severo-Kurilsk,RU,50.6789,156.125,15.85,61,100,21.94,light snow
79,Haines Junction,CA,60.7522,-137.5108,10.96,98,98,2.42,overcast clouds
80,Kaspiysk,RU,42.8816,47.6392,39.38,93,100,4.47,overcast clouds
81,Natal,BR,-5.795,-35.2094,74.05,94,40,4.61,scattered clouds
82,Ialibu,PG,-6.2821,143.9935,64.27,89,100,4.41,light rain
83,Tanete,ID,-3.9443,119.7848,88.5,58,33,9.01,light rain
84,Praia Da Vitoria,PT,38.7333,-27.0667,53.85,82,75,10.0,broken clouds
85,Mersing,MY,2.4312,103.8405,84.11,74,40,13.8,scattered clouds
86,Coihaique,CL,-45.5752,-72.0662,55.35,62,0,8.05,clear sky
87,Kapaa,US,22.0752,-159.319,75.52,84,75,5.75,broken clouds
88,Benjamin Constant,BR,-4.3831,-70.0311,77.13,99,100,2.19,overcast clouds
89,Hithadhoo,MV,-0.6,73.0833,81.01,66,3,5.1,clear sky
90,Valparaiso,CL,-33.0393,-71.6273,62.47,100,0,0.0,clear sky
91,Berlevag,NO,70.8578,29.0864,28.4,68,34,5.75,scattered clouds
92,Lorengau,PG,-2.0226,147.2712,84.54,63,93,4.68,overcast clouds
93,Butaritari,KI,3.0707,172.7902,81.57,78,61,21.0,broken clouds
94,Carnarvon,AU,-24.8667,113.6333,88.14,54,20,20.49,few clouds
95,Airai,TL,-8.9266,125.4092,70.39,75,100,4.03,overcast clouds
96,New Norfolk,AU,-42.7826,147.0587,63.91,53,46,4.0,scattered clouds
97,Samarai,PG,-10.6167,150.6667,83.8,75,94,7.43,overcast clouds
98,Carauari,BR,-4.8828,-66.8958,72.05,98,100,2.08,overcast clouds
99,Castro,BR,-24.7911,-50.0119,63.37,98,100,3.29,overcast clouds
100,San Juan,AR,-31.5375,-68.5364,74.84,57,86,9.86,overcast clouds
101,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,70.38,98,98,1.45,overcast clouds
102,Jamestown,US,42.097,-79.2353,38.01,72,100,14.97,mist
103,Matara,LK,5.9485,80.5353,84.54,61,86,11.88,overcast clouds
104,Mount Gambier,AU,-37.8333,140.7667,60.91,52,68,13.62,broken clouds
105,Khatanga,RU,71.9667,102.5,-29.97,99,49,5.79,scattered clouds
106,Colac,AU,-38.3333,143.5833,62.17,53,85,13.94,overcast clouds
107,West Helena,US,34.5507,-90.6418,58.75,95,99,6.98,overcast clouds
108,Fortuna,US,40.5982,-124.1573,44.94,89,84,5.99,broken clouds
109,Arraial Do Cabo,BR,-22.9661,-42.0278,73.45,93,0,18.48,clear sky
110,Belaya Gora,RU,68.5333,146.4167,-36.2,99,100,1.19,overcast clouds
111,Kez,RU,57.8979,53.7152,10.18,92,100,6.35,overcast clouds
112,Kununurra,AU,-15.7667,128.7333,80.58,89,89,8.05,moderate rain
113,Policoro,IT,40.2115,16.6726,59.99,53,2,11.01,clear sky
114,Guntakal,IN,15.1667,77.3833,80.2,35,37,9.57,scattered clouds
115,Port Elizabeth,ZA,-33.918,25.5701,76.32,99,99,9.22,overcast clouds
116,Puerto Carreno,CO,6.189,-67.4859,75.88,73,97,5.7,overcast clouds
117,Sitka,US,57.0531,-135.33,37.29,81,75,9.22,light rain
118,Ankang,CN,32.68,109.0172,43.16,40,75,1.92,broken clouds
119,Saint-Augustin,CA,51.226,-58.6502,34.7,100,100,10.09,light snow
120,Balkanabat,TM,39.5108,54.3671,37.8,39,8,6.11,clear sky
121,Saskylakh,RU,71.9167,114.0833,-22.61,100,98,6.58,overcast clouds
122,Barrow,US,71.2906,-156.7887,-7.58,77,100,20.71,light snow
123,Jerantut,MY,3.936,102.3626,85.62,57,94,3.58,overcast clouds
124,Acarau,BR,-2.8856,-40.12,76.68,85,81,10.47,broken clouds
125,Thompson,CA,55.7435,-97.8558,14.16,85,100,2.3,light snow
126,Avarua,CK,-21.2078,-159.775,80.65,74,75,9.22,light rain
127,Kon Tum,VN,14.35,108.0,70.84,68,94,6.58,overcast clouds
128,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,55,100,6.91,overcast clouds
129,Monteagudo,BO,-19.8167,-63.9833,64.85,77,62,2.3,broken clouds
130,Hvolsvollur,IS,63.7533,-20.2243,8.89,82,4,9.71,clear sky
131,Merke,KZ,42.8728,73.1786,25.23,73,5,3.36,clear sky
132,Kutum,SD,14.2,24.6667,58.39,29,100,4.16,overcast clouds
133,Ribeira Grande,PT,38.5167,-28.7,54.77,84,18,5.99,few clouds
134,Waipawa,NZ,-41.4122,175.5153,61.81,75,36,7.02,scattered clouds
135,Ternate,ID,0.8,127.4,83.88,71,88,7.09,heavy intensity rain
136,Urengoy,RU,65.9667,78.3667,-7.87,96,100,13.31,overcast clouds
137,Lasa,IT,46.6166,10.7002,30.02,94,86,2.93,overcast clouds
138,Turayf,SA,31.6725,38.6637,39.45,87,0,3.44,clear sky
139,Asyut,EG,27.181,31.1837,44.78,50,0,3.96,clear sky
140,Provideniya,RU,64.3833,-173.3,-17.19,84,2,7.31,clear sky
141,Anadyr,RU,64.75,177.4833,-17.9,69,0,17.9,clear sky
142,Atuona,PF,-9.8,-139.0333,78.8,76,14,21.39,light rain
143,Zabol,AF,32.25,67.25,30.47,55,100,7.94,light snow
144,Nikel,RU,69.4128,30.222,15.98,96,71,6.04,broken clouds
145,Bentiu,SS,9.2333,29.8333,76.05,17,75,8.25,broken clouds
146,Gurupa,BR,-1.405,-51.64,71.53,98,100,2.51,overcast clouds
147,Uyemskiy,RU,64.4743,40.8524,6.58,97,84,6.67,broken clouds
148,Banff,CA,51.1762,-115.5698,31.23,80,88,5.75,overcast clouds
149,Aksu,CN,41.1231,80.2644,13.44,68,3,3.85,clear sky
150,Shelburne,CA,44.0787,-80.2041,36.05,98,100,14.7,overcast clouds
151,Bredasdorp,ZA,-34.5322,20.0403,72.81,85,100,2.64,overcast clouds
152,Okhotsk,RU,59.3833,143.3,-10.61,97,100,8.08,overcast clouds
153,Matay,EG,28.419,30.7792,53.29,55,0,5.1,clear sky
154,Nanortalik,GL,60.1432,-45.2371,24.53,86,100,5.75,overcast clouds
155,Alofi,NU,-19.0595,-169.9187,84.09,79,96,4.61,light rain
156,Kalemie,CD,-5.9475,29.1947,68.61,89,100,4.34,overcast clouds
157,Saint-Philippe,RE,-21.3585,55.7679,83.79,84,100,15.5,light rain
158,Chokurdakh,RU,70.6333,147.9167,-35.43,100,43,3.78,scattered clouds
159,Khuzhir,RU,53.1939,107.3397,5.92,67,88,16.87,overcast clouds
160,Honningsvag,NO,70.9821,25.9704,28.15,74,0,23.02,clear sky
161,Nome,US,64.5011,-165.4064,-2.13,71,100,11.5,overcast clouds
162,Santo Antonio Do Monte,BR,-20.0872,-45.2936,62.4,91,5,3.78,clear sky
163,Portland,US,45.5234,-122.6762,47.8,86,100,10.0,overcast clouds
164,Salta,AR,-24.7859,-65.4117,75.79,63,75,4.61,broken clouds
165,Mundo Nuevo,MX,18.7,-95.5,75.96,73,98,13.98,overcast clouds
166,Makubetsu,JP,45.3714,141.8211,20.91,68,75,25.32,broken clouds
167,Dumas,US,35.8656,-101.9732,44.53,81,0,6.91,clear sky
168,Pevek,RU,69.7008,170.3133,-35.27,100,70,3.83,broken clouds
169,Kazanlak,BG,42.6167,25.4,47.25,89,68,8.59,broken clouds
170,Thunder Bay,CA,48.4001,-89.3168,22.98,74,100,11.5,overcast clouds
171,Axim,GH,4.8699,-2.2405,78.04,84,41,5.12,scattered clouds
172,Vao,NC,-22.6667,167.4833,75.83,68,100,17.07,overcast clouds
173,Katobu,ID,-4.9408,122.5276,88.02,61,75,1.99,broken clouds
174,Tasiilaq,GL,65.6145,-37.6368,10.56,68,59,7.74,broken clouds
175,Knysna,ZA,-34.0363,23.0471,77.38,78,90,1.54,overcast clouds
176,Saldanha,ZA,-33.0117,17.9442,64.45,91,99,11.83,overcast clouds
177,Tuatapere,NZ,-46.1333,167.6833,65.86,63,0,6.82,clear sky
178,Gotsu,JP,35.0,132.2167,44.73,65,100,7.58,overcast clouds
179,Maniitsoq,GL,65.4167,-52.9,-0.13,70,53,9.98,broken clouds
180,Klyuchi,RU,52.2667,79.1667,6.66,89,11,6.73,few clouds
181,Chicama,PE,-7.8447,-79.1469,66.74,72,21,2.86,few clouds
182,Port Blair,IN,11.6667,92.75,82.44,57,75,10.36,haze
183,Ostrovnoy,RU,68.0531,39.5131,25.23,92,25,21.16,scattered clouds
184,Beringovskiy,RU,63.05,179.3167,-20.56,90,61,11.21,broken clouds
185,Yeppoon,AU,-23.1333,150.7333,85.78,73,35,19.15,scattered clouds
186,Maragogi,BR,-9.0122,-35.2225,76.95,83,100,6.76,overcast clouds
187,Conversion,PH,15.8984,121.1277,77.05,74,92,8.55,overcast clouds
188,Cherskiy,RU,68.75,161.3,-47.78,99,70,4.47,broken clouds
189,Dwarka,IN,22.2394,68.9678,72.23,36,3,12.93,clear sky
190,Katsuura,JP,35.1333,140.3,52.48,44,80,6.42,broken clouds
191,Narsaq,GL,60.9167,-46.05,12.42,72,100,5.44,overcast clouds
192,Sulam,IL,32.6061,35.3341,55.96,76,4,1.81,clear sky
193,Norman Wells,CA,65.282,-126.8329,-11.16,77,20,2.3,few clouds
194,Srednekolymsk,RU,67.45,153.6833,-39.39,98,99,5.7,overcast clouds
195,Cockburn Town,TC,21.4612,-71.1419,75.52,59,37,15.46,scattered clouds
196,Marsa Matruh,EG,31.3525,27.2453,50.2,87,0,6.91,clear sky
197,Brooks,CA,50.5834,-111.8851,21.18,91,37,2.3,scattered clouds
198,Flinders,AU,-34.5833,150.8552,80.19,74,60,4.0,broken clouds
199,Mount Pleasant,US,32.7941,-79.8626,59.09,90,100,3.44,mist
200,Ilhabela,BR,-23.7781,-45.3581,74.35,91,76,1.59,broken clouds
201,Ponta Do Sol,PT,32.6667,-17.1,60.71,67,63,9.13,broken clouds
202,Leningradskiy,RU,69.3833,178.4167,-17.86,93,96,13.15,overcast clouds
203,Karratha,AU,-20.7377,116.8463,89.38,51,31,12.66,scattered clouds
204,Roald,NO,62.5833,6.1333,37.76,80,40,5.75,scattered clouds
205,Kahului,US,20.8947,-156.47,75.85,81,20,5.75,few clouds
206,Sooke,CA,48.3746,-123.7276,46.65,96,100,2.01,overcast clouds
207,Tall Kayf,TR,37.0833,41.0667,44.94,75,4,6.91,clear sky
208,Cairns,AU,-16.9167,145.7667,81.07,94,75,5.75,light intensity shower rain
209,Bismarck,US,46.8083,-100.7837,17.44,86,100,4.61,mist
210,Dicabisagan,PH,17.0818,122.4157,73.29,89,100,10.71,overcast clouds
211,Souillac,MU,-20.5167,57.5167,80.98,78,75,17.27,light rain
212,Benghazi,LY,32.1167,20.0667,59.38,67,5,20.71,clear sky
213,Manokwari,ID,-0.8667,134.0833,78.71,82,100,8.84,light rain
214,Timon,BR,-5.0942,-42.8367,73.18,94,100,4.61,moderate rain
215,Mufumbwe,ZM,-13.6833,24.8,64.27,95,100,3.76,overcast clouds
216,Repnoye,RU,51.5921,43.1861,24.01,92,100,14.43,overcast clouds
217,Longyearbyen,SJ,78.2186,15.6401,12.04,62,0,10.36,clear sky
218,Ulaanbaatar,MN,47.9077,106.8832,3.33,66,40,0.0,scattered clouds
219,Kirkkonummi,FI,60.1238,24.4385,36.18,100,100,12.84,overcast clouds
220,Bud,US,39.447,-86.1758,39.9,86,31,7.52,scattered clouds
221,Pisco,PE,-13.7,-76.2167,69.85,83,0,8.05,clear sky
222,Barra Patuca,HN,15.8,-84.2833,73.47,84,4,9.01,clear sky
223,Asau,RO,46.4333,26.4,40.28,81,75,8.28,broken clouds
224,Saint-Leu,RE,-21.15,55.2833,84.31,69,99,5.35,overcast clouds
225,Manali,IN,13.1667,80.2667,80.69,55,60,9.75,broken clouds
226,Libertador General San Martin,AR,-23.8064,-64.7876,79.03,46,80,3.09,broken clouds
227,Shihezi,CN,44.3,86.0333,4.95,87,6,4.56,clear sky
228,Shahgarh,IN,24.3167,79.1333,66.42,19,0,4.74,clear sky
229,Codrington,AU,-38.2667,141.9667,58.87,60,100,18.3,overcast clouds
230,Puerto Colombia,CO,10.9878,-74.9547,78.89,83,17,21.47,few clouds
231,Hasaki,JP,35.7333,140.8333,57.29,57,54,9.64,broken clouds
232,Skibbereen,IE,51.55,-9.2667,40.1,75,63,21.27,light rain
233,Eureka,US,40.8021,-124.1637,45.21,91,90,3.0,overcast clouds
234,Hofn,IS,64.2539,-15.2082,24.78,60,0,22.77,clear sky
235,Nuevo Laredo,MX,27.4763,-99.5164,70.07,73,0,6.91,clear sky
236,Byron Bay,AU,-28.65,153.6167,81.72,55,0,8.63,clear sky
237,Colatina,BR,-19.5394,-40.6306,70.47,97,19,1.39,few clouds
238,San Patricio,US,28.017,-97.5169,72.07,78,98,12.64,overcast clouds
239,Constitucion,CL,-35.3333,-72.4167,54.39,72,2,5.53,clear sky
240,Sao Miguel,BR,-5.4667,-35.3667,74.17,83,94,10.09,overcast clouds
241,Mayskiy,RU,47.6931,40.1025,31.41,92,99,12.44,overcast clouds
242,Paita,PE,-5.0892,-81.1144,70.11,76,89,8.14,overcast clouds
243,Afonso Claudio,BR,-20.0742,-41.1239,67.71,97,44,1.66,scattered clouds
244,Bodden Town,KY,19.2833,-81.25,74.93,77,4,15.05,clear sky
245,Sur,OM,22.5667,59.5289,76.69,49,4,9.04,clear sky
246,Minab,IR,27.1467,57.0801,65.5,79,99,4.16,light rain
247,Gweru,ZW,-19.45,29.8167,68.2,76,73,5.77,broken clouds
248,Goure,NE,13.9835,10.2704,56.41,31,0,9.17,clear sky
249,Ystad,SE,55.4297,13.8204,36.34,77,17,17.47,few clouds
250,Snasa,NO,64.2457,12.3778,33.21,86,100,7.96,overcast clouds
251,Leshukonskoye,RU,64.8989,45.7622,5.02,98,77,5.12,broken clouds
252,Katherine,AU,-14.4667,132.2667,93.52,49,97,9.22,overcast clouds
253,Lagoa,PT,39.05,-27.9833,56.21,68,0,9.48,clear sky
254,Talnakh,RU,69.4865,88.3972,-28.28,84,69,8.63,broken clouds
255,Clearwater,US,27.9659,-82.8001,63.09,84,0,7.0,clear sky
256,Nampa,US,43.5407,-116.5635,34.48,80,0,8.05,clear sky
257,Kochevo,RU,59.5994,54.3125,14.65,95,99,7.18,overcast clouds
258,Lavrentiya,RU,65.5833,-171.0,-22.2,93,19,9.57,few clouds
259,Ballina,AU,-28.8667,153.5667,81.79,62,0,9.51,clear sky
260,Constantine,DZ,36.365,6.6147,51.21,62,20,16.11,few clouds
261,Kaitangata,NZ,-46.2817,169.8464,61.97,75,5,9.15,clear sky
262,Grand Gaube,MU,-20.0064,57.6608,83.37,71,99,15.01,overcast clouds
263,Iqaluit,CA,63.7506,-68.5145,-7.31,69,100,0.0,light snow
264,Victor Harbor,AU,-35.5667,138.6167,64.0,67,97,3.0,overcast clouds
265,Cagliliog,PH,13.9016,123.2913,75.9,93,100,13.44,moderate rain
266,Pangody,RU,65.85,74.4859,2.7,96,98,9.17,light snow
267,Tarapur,IN,19.85,72.7,77.11,34,3,1.48,clear sky
268,Zhaotong,CN,27.3167,103.7167,36.25,48,84,2.24,broken clouds
269,Muisne,EC,0.6,-80.0333,75.33,84,100,8.39,overcast clouds
270,Litovko,RU,49.2361,135.1742,-2.9,79,6,3.15,clear sky
271,Porto Novo,BJ,6.4965,2.6036,76.82,88,56,3.02,broken clouds
272,Choszczno,PL,53.169,15.4205,29.23,88,100,4.65,overcast clouds
273,Ndele,CF,8.4109,20.6473,71.42,26,100,6.35,overcast clouds
274,Ust-Ordynskiy,RU,52.805,104.7508,-5.13,87,99,18.79,overcast clouds
275,Ranong,TH,9.9658,98.6348,87.73,55,54,3.18,broken clouds
276,Urupes,BR,-21.2017,-49.29,70.93,89,90,4.25,overcast clouds
277,Guerrero Negro,MX,27.9769,-114.0611,57.56,59,20,15.21,few clouds
278,Vytegra,RU,61.0064,36.4481,31.46,89,100,14.0,overcast clouds
279,Namtsy,RU,62.7161,129.6658,-53.52,97,99,1.39,overcast clouds
